Main_Title,Sub_Title,Venue,Fees,Date
The Challenge of Globalisation,Opportunity and Threat in World Markets,London - UK,"$ 5,950",06 - 10 Jul 2026
The Challenge of Globalisation,Opportunity and Threat in World Markets,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Certificate in Fleet & Transport Management,Master the Fundamentals of Efficient Fleet & Transport Operations,London - UK,"$ 5,950",24 - 28 Nov 2025
Certificate in Fleet & Transport Management,Master the Fundamentals of Efficient Fleet & Transport Operations,Abu Dhabi - UAE,"$ 5,950",22 - 26 Dec 2025
Certificate in Fleet & Transport Management,Master the Fundamentals of Efficient Fleet & Transport Operations,Dubai - UAE,"$ 5,950",09 - 13 Feb 2026
Certificate in Fleet & Transport Management,Master the Fundamentals of Efficient Fleet & Transport Operations,Paris - France,"$ 5,950",13 - 17 Apr 2026
Certificate in Fleet & Transport Management,Master the Fundamentals of Efficient Fleet & Transport Operations,Dubai - UAE,"$ 5,950",22 - 26 Jun 2026
Certificate in Fleet & Transport Management,Master the Fundamentals of Efficient Fleet & Transport Operations,Dubai - UAE,"$ 5,950",26 - 30 Oct 2026
Certificate in Fleet & Transport Management,Master the Fundamentals of Efficient Fleet & Transport Operations,London - UK,"$ 5,950",23 - 27 Nov 2026
Certificate in Fleet & Transport Management,Master the Fundamentals of Efficient Fleet & Transport Operations,Abu Dhabi - UAE,"$ 5,950",21 - 25 Dec 2026
International Freight Management,Optimising Value for Transportation,Dubai - UAE,"$ 5,950",03 - 07 Nov 2025
International Freight Management,Optimising Value for Transportation,Dubai - UAE,"$ 5,950",06 - 10 Jul 2026
International Freight Management,Optimising Value for Transportation,Dubai - UAE,"$ 5,950",02 - 06 Nov 2026
International Freight Management,Optimising Value for Transportation,Online,"$ 3,950",02 - 06 Nov 2025
International Freight Management,Optimising Value for Transportation,Online,"$ 3,950",07 - 11 Dec 2025
International Freight Management,Optimising Value for Transportation,Online,"$ 3,950",02 - 06 Nov 2026
Best Practices for Optimizing Warehouse Safety,Keeping Warehouse Workers Injury Free,London - UK,"$ 5,950",03 - 07 Nov 2025
Best Practices for Optimizing Warehouse Safety,Keeping Warehouse Workers Injury Free,London - UK,"$ 5,950",04 - 08 May 2026
Best Practices for Optimizing Warehouse Safety,Keeping Warehouse Workers Injury Free,Dubai - UAE,"$ 5,950",22 - 26 Jun 2026
Best Practices for Optimizing Warehouse Safety,Keeping Warehouse Workers Injury Free,Dubai - UAE,"$ 5,950",12 - 16 Oct 2026
Best Practices for Optimizing Warehouse Safety,Keeping Warehouse Workers Injury Free,London - UK,"$ 5,950",02 - 06 Nov 2026
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Dubai - UAE,"$ 5,950",03 - 07 Nov 2025
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Dubai - UAE,"$ 5,950",02 - 06 Feb 2026
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Dubai - UAE,"$ 5,950",15 - 19 Jun 2026
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Vienna - Austria,"$ 5,950",17 - 21 Aug 2026
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Dubai - UAE,"$ 5,950",02 - 06 Nov 2026
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Online,"$ 3,950",03 - 07 Nov 2025
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Online,"$ 3,950",15 - 19 Jun 2026
Managing the Procurement Process,"Planning, Suppliers Selection, Negotiation and Contract Award",Online,"$ 3,950",02 - 06 Nov 2026
Advanced Negotiation Skills,Mastering Negotiation Skills,London - UK,"$ 5,950",03 - 07 Nov 2025
Advanced Negotiation Skills,Mastering Negotiation Skills,Dubai - UAE,"$ 5,950",17 - 21 Nov 2025
Advanced Negotiation Skills,Mastering Negotiation Skills,Abu Dhabi - UAE,"$ 5,950",24 - 28 Nov 2025
Advanced Negotiation Skills,Mastering Negotiation Skills,Amsterdam - The Netherlands,"$ 5,950",29 Dec - 02 Jan 2026
Advanced Negotiation Skills,Mastering Negotiation Skills,Dubai - UAE,"$ 5,950",19 - 23 Jan 2026
Advanced Negotiation Skills,Mastering Negotiation Skills,London - UK,"$ 5,950",06 - 10 Apr 2026
Advanced Negotiation Skills,Mastering Negotiation Skills,Dubai - UAE,"$ 5,950",20 - 24 Apr 2026
